key,cycle_time,t_RFC,PageSize,BankSize,column,density,row,t_RCD,t_RAS,t_RC,t_CAS,t_RP,t_RRD,Activation energy,Read energy,Write energy,Precharge energy
tsv_1024_Page8192_Stack4_Size1_Bank256_UCA1,1,60,8192,256,8,256,4096,7,13,19,9,7,2,1.01453,3.58203,3.5821,0.965137
tsv_1024_Page8192_Stack4_Size2_Bank512_UCA1,1,80,8192,512,8,512,8192,7,14,20,14,7,3,1.05255,5.87063,5.8707,0.96565
tsv_1024_Page8192_Stack4_Size8_Bank2048_UCA1,1,160,8192,2048,8,2048,32768,9,20,26,77,7,7,1.3004,19.5921,19.5922,0.966676
tsv_1024_Page8192_Stack4_Size4_Bank1024_UCA1,1,110,8192,1024,8,1024,16384,8,16,22,28,7,4,1.13238,10.4455,10.4456,0.966163
tsv_1024_Page16384_Stack4_Size2_Bank512_UCA1,1,80,16384,512,16,512,4096,10,16,22,9,7,2,1.45362,3.59727,3.5973,1.38807
tsv_1024_Page16384_Stack4_Size8_Bank2048_UCA1,1,160,16384,2048,16,2048,16384,11,19,25,28,7,4,1.57147,10.48,10.48,1.38909
tsv_1024_Page16384_Stack4_Size1_Bank256_UCA1,1,60,16384,256,16,256,2048,10,16,22,8,7,2,1.43541,2.44726,2.44729,1.38755
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1,1,110,16384,1024,16,1024,8192,11,17,23,14,7,3,1.49164,5.8933,5.89333,1.38858
tsv_1024_Page32768_Stack4_Size2_Bank512_UCA1,1,80,32768,512,32,512,2048,16,19,22,8,4,2,1.55346,2.64253,2.64255,1.47104
tsv_1024_Page32768_Stack4_Size4_Bank1024_UCA1,1,110,32768,1024,32,1024,4096,16,22,29,10,8,2,2.33008,3.77559,3.77563,2.22821
tsv_1024_Page32768_Stack4_Size8_Bank2048_UCA1,1,160,32768,2048,32,2048,8192,16,23,29,15,8,3,2.3681,6.08859,6.08863,2.22872
tsv_1024_Page32768_Stack4_Size1_Bank256_UCA1,1,60,32768,256,32,256,1024,15,17,19,8,3,2,1.1676,2.38349,2.3835,1.0896
