,nRCD,nRAS,nRC,nCAS,nRP,nRRD,,,,Activation,Precharge,Read/Write
32,11,26,40,4,16,3,,,32,2.25138,2.15043,5.7558
64,11,17,23,5,7,3,,,64,1.49644,1.38858,6.20628
128,10,15,18,7,4,3,,,128,1.12936,1.00765,7.10706
256,10,14,16,13,3,4,,,256,0.966576,0.817186,8.90806
512,10,14,16,27,3,5,,,512,0.926712,0.721954,12.5087
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,Area,,
,nRCD,nRAS,nRC,nCAS,nRP,nRRD,,,32,23.5591,,
3,13,159,306,13,148,3,,,64,24.5373,,
,,,,,,,,,128,26.4882,,
,nRCD,nRAS,nRC,nCAS,nRP,nRRD,,,256,30.3724,,
6,11,17,23,15,7,3,,,512,38.0955,,
,,,,,,,,,,,,
,nRCD,nRAS,nRC,nCAS,nRP,nRRD,,,,,,
0,10,14,16,37,3,5,,,,,,
,,,,,,,,,,,,
,nRCD,nRAS,nRC,nCAS,nRP,nRRD,,,,,,
2,11,26,40,14,16,3,,,,,,
,,,,,,,,,,,,
,nRCD,nRAS,nRC,nCAS,nRP,nRRD,,,,,,
4,10,14,16,23,3,4,,,,,,
,,,,,,,,,,,,
,nRCD,nRAS,nRC,nCAS,nRP,nRRD,,,,,,
5,10,15,18,17,4,3,,,,,,
,,,,,,,,,,,,
,nRCD,nRAS,nRC,nCAS,nRP,nRRD,,,,,,
1,12,54,97,13,44,3,,,,,,
