name,REFab,,,,,,,,,,,,
tsv_1024_Page16384_Stack4_Size1_Bank256_UCA1,27450,,,,,,,,,,,,
tsv_1024_Page16384_Stack4_Size1_Bank256_UCA1_ar,67600,,,,,,,,,,,,
tsv_1024_Page16384_Stack4_Size2_Bank512_UCA1,27450,,,,,nRFC,,,nRCD,nRAS,nRC,nCAS,nRRD
tsv_1024_Page16384_Stack4_Size2_Bank512_UCA1_ar,67956,,,,256Mb,60,,256Mb,10,16,22,8,2
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1,27453,,,,512Mb,80,,512Mb,10,16,22,9,2
tsv_1024_Page16384_Stack4_Size4_Bank1024_UCA1_ar,69316,,,,1024Mb,110,,1024Mb,11,17,23,14,3
tsv_1024_Page16384_Stack4_Size8_Bank2048_UCA1,27454,,,,2048Mb,160,,2048Mb,12,19,25,28,4
tsv_1024_Page16384_Stack4_Size8_Bank2048_UCA1_ar,70243,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,Refresh Counts,,,
,,,,,,Refresh Counts,,,256Mb AR,67600,,,
,,,,,256Mb AR,67600,,,256Mb WUPR ,27450,,,
,,,,,512Mb AR,67956,,,512Mb AR,67956,,,
,,,,,1024Mb AR,69316,,,512Mb WUPR ,27450,,,
,,,,,2048Mb AR,70243,,,1024Mb AR,69316,,,
,,,,,,,,,1024Mb WUPR,27453,,,
,,,,,,,,,2048Mb AR,70243,,,
,,,,,,,,,2048Mb WUPR,27454,,,
,,,,,,Refresh Counts,,,,,,,
,,,,,256Mb WUPR ,27450,,,,,,,
,,,,,512Mb WUPR ,27450,,,,,,,
,,,,,1024Mb WUPR,27453,,,,,,,
,,,,,2048Mb WUPR,27454,,,,,,,
