name,total_energy,memory_system_cycles,bandwidth_utilization,peak_bandwidth,frontend_avg_bandwidth,Normalised Energy,,,,,
WUPR_2Segments_Analysis,1244566968,269268624,0.744799972,95.3343964,91.457428,1.001659682,,,2,,1242504805
WUPR_4Segments_Analysis,1243301564,266633740,0.744799972,95.3343964,92.3612061,1.000641252,,,4,,1242504805
WUPR_8Segments_Analysis,1242770069,265527451,0.744799972,95.3343964,92.7460175,1.000213491,,,8,,1242504805
WUPR_16Segments_Analysis,1242504805,264974394,0.744799972,95.3343964,92.9395981,1,,,16,,1242504805
WUPR_32Segments_Analysis,1242504805,264974394,0.744799972,95.3343964,92.9395981,1,,,32,,1242504805
WUPR_64Segments_Analysis,1242504805,264974394,0.744799972,95.3343964,92.9395981,1,,,64,,1242504805
WUPR_128Segments_Analysis,1242504805,264974394,0.744799972,95.3343964,92.9395981,1,,,128,,1242504805
,,,,,,,,,,,
32ms_Without_WUPR_Analysis,1249799346,270716050,0.729200006,93.3376007,90.9684296,1.005226231,Normal Auto,,,,1243301564
32ms_With_WUPR_Analysis,1243301564,266633740,0.744799972,95.3343964,92.3612061,1,Normal WUPR,,,,1243301564
16ms_Without_WUPR_Analysis,1262005969,280862855,0.707599998,90.5727997,87.6819916,1.015044141,16ms Auto,,,,1243301564
16ms_With_WUPR_Analysis,1248180620,272025361,0.744799972,95.3343964,90.5305786,1.003924274,16ms WUPR,,,,1243301564
8ms_Without_WUPR_Analysis,1284938089,298084535,0.660600007,84.5568008,82.6162033,1.033488677,8ms Auto,,,,1243301564
8ms_With_WUPR_Analysis,1256722018,280819411,0.744799972,95.3343964,87.695549,1.010794206,8ms WUPR,,,,1243301564
,,,,,,,,,,,1243301564
,,,,,,,,,,,1243301564
,,,,,,,,,,,
fifo_depth_1,1249797258,274723861,0.729600012,93.3888016,90.9697266,1.014804482,,,,,270716050
fifo_depth_2,1249799346,271894979,0.729200006,93.3376007,90.9684296,1.004354854,,,,,270716050
fifo_depth_3,1249799346,270716050,0.729200006,93.3376007,90.9684296,1,,,,,270716050
fifo_depth_4,1249799346,270716050,0.729200006,93.3376007,90.9684296,1,,,,,270716050
fifo_depth_5,1249799346,270716050,0.729200006,93.3376007,90.9684296,1,,,,,270716050
,,,,,,,,,,,
With_RAW_Analysis,1249802785,270722648,0.729200006,93.3376007,90.9662094,,,,,,
Without_RAW_Analysis,1249799346,270716050,0.729200006,93.3376007,90.9684296,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Read,Write,,,,,,,,
,Number of Traces,48098874,371458,,48470332,,,,,,
,Percentages,99.2336%,0.7664%,,,,,,,,
